plot_id,group,species,abundance,elevation,soil_moisture,soil_depth (cm),conifer proportion (%),slope,proportion of visible sky,pH,water_holding_capacity (%),organic_matter_content (%),NO3,NH4,Ca,K,P,Al
E1C1,Creek,Claytonia,824,719.2699585,55.5,8.25,5,11,9.8,5.06,0.54446461,0.414705882,91.2,17.9,1012.1,206.5,4.35,32.75
E1C1,Creek,Erythronium,37,719.2699585,55.5,8.25,5,11,9.8,5.06,0.54446461,0.414705882,91.2,17.9,1012.1,206.5,4.35,32.75
E1C1,Creek,Dicentra,4,719.2699585,55.5,8.25,5,11,9.8,5.06,0.54446461,0.414705882,91.2,17.9,1012.1,206.5,4.35,32.75
E1C1,Creek,Trillium,2,719.2699585,55.5,8.25,5,11,9.8,5.06,0.54446461,0.414705882,91.2,17.9,1012.1,206.5,4.35,32.75
E1C1,Creek,Veratrum,2,719.2699585,55.5,8.25,5,11,9.8,5.06,0.54446461,0.414705882,91.2,17.9,1012.1,206.5,4.35,32.75
E1C2,Creek,Claytonia,928,690.9699707,51.25,9,0,15,10.97,4.97,0.55500821,0.337322695,168.3,32.7,946.7,141.8,7.9,20.36
E1C2,Creek,Erythronium,252,690.9699707,51.25,9,0,15,10.97,4.97,0.55500821,0.337322695,168.3,32.7,946.7,141.8,7.9,20.36
E1C2,Creek,Dicentra,16,690.9699707,51.25,9,0,15,10.97,4.97,0.55500821,0.337322695,168.3,32.7,946.7,141.8,7.9,20.36
E1C2,Creek,Trillium,13,690.9699707,51.25,9,0,15,10.97,4.97,0.55500821,0.337322695,168.3,32.7,946.7,141.8,7.9,20.36
E1C2,Creek,Veratrum,0,690.9699707,51.25,9,0,15,10.97,4.97,0.55500821,0.337322695,168.3,32.7,946.7,141.8,7.9,20.36
E2C2,Creek,Claytonia,135,781.2000122,41.5,2.5,18,43,8.24,4.05,0.724738676,0.612210526,110.3,20.6,774.3,138.9,15.77,21.76
E2C2,Creek,Erythronium,117,781.2000122,41.5,2.5,18,43,8.24,4.05,0.724738676,0.612210526,110.3,20.6,774.3,138.9,15.77,21.76
E2C2,Creek,Dicentra,0,781.2000122,41.5,2.5,18,43,8.24,4.05,0.724738676,0.612210526,110.3,20.6,774.3,138.9,15.77,21.76
E2C2,Creek,Trillium,10,781.2000122,41.5,2.5,18,43,8.24,4.05,0.724738676,0.612210526,110.3,20.6,774.3,138.9,15.77,21.76
E2C2,Creek,Veratrum,0,781.2000122,41.5,2.5,18,43,8.24,4.05,0.724738676,0.612210526,110.3,20.6,774.3,138.9,15.77,21.76
E2C1,Creek,Claytonia,1856,838.0599976,36.5,14.75,15,17,15.7,5.19,0.477351916,0.333165576,200.5,6.5,2158.1,154.8,8.85,29.93
E2C1,Creek,Erythronium,496,838.0599976,36.5,14.75,15,17,15.7,5.19,0.477351916,0.333165576,200.5,6.5,2158.1,154.8,8.85,29.93
E2C1,Creek,Dicentra,2,838.0599976,36.5,14.75,15,17,15.7,5.19,0.477351916,0.333165576,200.5,6.5,2158.1,154.8,8.85,29.93
E2C1,Creek,Trillium,15,838.0599976,36.5,14.75,15,17,15.7,5.19,0.477351916,0.333165576,200.5,6.5,2158.1,154.8,8.85,29.93
E2C1,Creek,Veratrum,0,838.0599976,36.5,14.75,15,17,15.7,5.19,0.477351916,0.333165576,200.5,6.5,2158.1,154.8,8.85,29.93
E3C2,Creek,Claytonia,104,886.8999634,36.25,15,70,15,15.54,4.68,0.506377551,0.261857047,177.4,7.6,544.6,357.6,1.83,94.35
E3C2,Creek,Erythronium,422,886.8999634,36.25,15,70,15,15.54,4.68,0.506377551,0.261857047,177.4,7.6,544.6,357.6,1.83,94.35
E3C2,Creek,Dicentra,0,886.8999634,36.25,15,70,15,15.54,4.68,0.506377551,0.261857047,177.4,7.6,544.6,357.6,1.83,94.35
E3C2,Creek,Trillium,8,886.8999634,36.25,15,70,15,15.54,4.68,0.506377551,0.261857047,177.4,7.6,544.6,357.6,1.83,94.35
E3C2,Creek,Veratrum,0,886.8999634,36.25,15,70,15,15.54,4.68,0.506377551,0.261857047,177.4,7.6,544.6,357.6,1.83,94.35
E3C1,Creek,Claytonia,0,864.1099854,29.5,4.625,98,24,20.54,4.36,0.404494382,0.445831476,16.4,23.2,88.9,635.3,9.52,27.87
E3C1,Creek,Erythronium,133,864.1099854,29.5,4.625,98,24,20.54,4.36,0.404494382,0.445831476,16.4,23.2,88.9,635.3,9.52,27.87
E3C1,Creek,Dicentra,0,864.1099854,29.5,4.625,98,24,20.54,4.36,0.404494382,0.445831476,16.4,23.2,88.9,635.3,9.52,27.87
E3C1,Creek,Trillium,0,864.1099854,29.5,4.625,98,24,20.54,4.36,0.404494382,0.445831476,16.4,23.2,88.9,635.3,9.52,27.87
E3C1,Creek,Veratrum,0,864.1099854,29.5,4.625,98,24,20.54,4.36,0.404494382,0.445831476,16.4,23.2,88.9,635.3,9.52,27.87
E1T1N1,Random,Claytonia,632,716.8800049,58.25,17.125,0,10,10.78,3.84,0.570011025,0.265944143,158.2914088,29.93048269,666.2298676,411.432019,6.807224516,28.6353569
